"","web_url","snippet","lead_paragraph","print_page","source","pub_date","document_type","news_desk","section_name","subsectoinName","_id","X_id","word_count","score","uri","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"1","https://www.nytimes.com/2019/03/25/us/politics/benjamin-netanyahu-donald-trump-meeting.html","The president’s decision was a valuable political gift to Prime Minister Benjamin Netanyahu a few weeks before he faces voters in Israel in a closely fought election.","The president’s decision was a valuable political gift to Prime Minister Benjamin Netanyahu a few weeks before he faces voters in Israel in a closely fought election.",7,"The New York Times","2019-03-25T12:31:36+0000","article","Washington","U.S.","Politics","News","5c98ca8249f0eacbf105ee40",1283,0,"nyt://article/70f4602c-7884-51de-a837-b8a74550bd4e","Trump, With Netanyahu, Formally Recognizes Israel’s Authority Over Golan Heights",NA,NA,"Trump Formally Recognizes Israel’s Authority in Golan Heights",NA,NA,NA,"By MARK LANDLER and DAVID M. HALBFINGER",NA
"2","https://www.nytimes.com/2019/03/25/opinion/trump-free-speech-colleges.html","Deans don’t want call-out culture either — they just can’t say so out loud.","Deans don’t want call-out culture either — they just can’t say so out loud.",NA,"The New York Times","2019-03-25T15:00:04+0000","article","OpEd","Opinion",NA,"Op-Ed","5c98ed4e49f0eacbf105ee97",799,0,"nyt://article/3420e877-b393-5a3b-a618-60b60b751895","Why Colleges Like Trump’s Campus Speech Order",NA,NA,"Why Colleges Like Trump’s Campus Speech Order",NA,NA,NA,"By MARK BAUERLEIN",NA
"12","https://www.nytimes.com/2019/03/24/opinion/letters/trump-mueller-report.html","Readers react to the attorney general’s summary of the special counsel’s report.","Readers react to the attorney general’s summary of the special counsel’s report.",22,"The New York Times","2019-03-24T23:01:46+0000","article","Letters","Opinion","Letters","Letter","5c980cb449f0eacbf105ecdc",664,0,"nyt://article/5f8efb83-e7a1-5ae2-b628-521a8331f093","What Mueller Found, and Didn’t Find","letters","letters","What Mueller Found, and Didn’t Find",NA,NA,NA,NA,NA
"23","https://www.nytimes.com/interactive/2019/03/24/us/politics/barr-letter-mueller-report.html","The letter, by Attorney General William P. Barr, details the main findings of the special counsel’s two-year investigation into Russian interference in the 2016 presidential election.","The letter, by Attorney General William P. Barr, details the main findings of the special counsel’s two-year investigation into Russian interference in the 2016 presidential election.",NA,"The New York Times","2019-03-24T19:48:44+0000","multimedia","U.S.","U.S.","Politics","Interactive Feature","5c97df7649f0eacbf105ec97",0,0,"nyt://interactive/c3d65284-19ac-57fb-a9a8-56cac730abb0","Read Attorney General William Barr’s Summary of the Mueller Report","",NA,NA,NA,NA,NA,"By THE NEW YORK TIMES","The New York Times"
"26","https://www.nytimes.com/video/world/middleeast/100000006427609/trump-netanyahu-rocket-defense.html","During a meeting at the White House, President Trump and Prime Minister Benjamin Netanyahu of Israel reinforced the close ties between their nations after a rocket launched from Gaza struck a house in central Israel.","During a meeting at the White House, President Trump and Prime Minister Benjamin Netanyahu of Israel reinforced the close ties between their nations after a rocket launched from Gaza struck a house in central Israel.",NA,"AP","2019-03-25T17:38:34+0000","multimedia","World / Middle East","World","Middle East","Video","5c99127449f0eacbf105eeea",125,0,"nyt://video/adc41748-8066-55b5-8177-1ae68b471e85","Trump Announces ‘Historic Action’ on Defense of Israel",NA,NA,NA,NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"39","https://www.nytimes.com/2019/03/25/briefing/brexit-gaza-apple.html","Let us help you start your day.","Let us help you start your day.",NA,"The New York Times","2019-03-25T19:02:20+0000","article","NYTNow","Briefing",NA,"briefing","5c99261649f0eacbf105ef40",1485,0,"nyt://article/ff0c4729-1abf-51d7-b275-0d4ab57d04cb","Brexit, Gaza, Apple: Your Tuesday Briefing",NA,NA,"Brexit, Gaza, Apple: Your Tuesday Briefing",NA,NA,NA,"By ALISHA HARIDASANI GUPTA",NA
"44","https://www.nytimes.com/2019/03/24/opinion/mueller-report-trump-investigation.html","A Trump-friendly attorney general’s letter doesn’t do justice to the special counsel’s investigation. Release his whole report.","A Trump-friendly attorney general’s letter doesn’t do justice to the special counsel’s investigation. Release his whole report.",22,"The New York Times","2019-03-24T23:18:41+0000","article","Editorial","Opinion",NA,"Editorial","5c9810ac49f0eacbf105ecf1",1126,0,"nyt://article/a1c47496-a607-547b-acff-234813ec83c4","No Collusion, No ‘Exoneration’",NA,NA,"No Collusion, No ‘Exoneration’",NA,NA,NA,"By THE EDITORIAL BOARD","THE EDITORIAL BOARD"
"61","https://www.nytimes.com/2019/03/24/obituaries/godfried-danneels-dead.html","He was considered a progressive in Roman Catholic leadership. But his reputation was hurt when it was learned that he had urged a victim of abuse not to talk.","He was considered a progressive in Roman Catholic leadership. But his reputation was hurt when it was learned that he had urged a victim of abuse not to talk.",7,"The New York Times","2019-03-24T18:00:14+0000","article","Obits","Obituaries",NA,"Obituary (Obit)","5c97c60849f0eacbf105ec67",848,0,"nyt://article/5dabe8e8-b464-58b4-960a-b9813df7d530","Godfried Danneels, Liberal Cardinal Tainted by Sex Scandal, Dies at 85",NA,NA,"Godfried Danneels, Progressive Cardinal, Dies at 85",NA,NA,NA,"By GAIA PIANIGIANI",NA
"68","https://www.nytimes.com/2019/03/25/books/review-old-drift-namwali-serpell.html","Namwali Serpell’s first novel is about the fortunes of three families with ties to Zambia, the landlocked country in southern Africa.","Namwali Serpell’s first novel is about the fortunes of three families with ties to Zambia, the landlocked country in southern Africa.",1,"The New York Times","2019-03-25T16:56:15+0000","article","Culture","Books",NA,"Review","5c99088949f0eacbf105eed1",1125,0,"nyt://article/26eefba2-3783-5926-93ac-3e53b3404d4e","‘The Old Drift’ Is a Dazzling Debut Spanning Four Generations","Books of The Times","Books of The Times"," The Mosquitoes Gossip About Us",NA,NA,NA,"By DWIGHT GARNER",NA
