"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"11","https://www.nytimes.com/aponline/2019/03/19/world/europe/ap-eu-us-russia-venezuela.html","Russia and the United States remain split on how to resolve the crisis in Venezuela, officials from both powers said Tuesday after talks in Rome.","Russia and the United States remain split on how to resolve the crisis in Venezuela, officials from both powers said Tuesday after talks in Rome.","AP","2019-03-19T17:00:31+0000","article","None","World","Europe","News","5c91208a49f0eacbf105de2f",411,0,"nyt://article/37415804-b891-55fd-9f24-43b03f178ec6",NA,"US, Russia Divided on Venezuela After Talks in Rome",NA,NA,"US, Russia Divided on Venezuela After Talks in Rome",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"12","https://www.nytimes.com/reuters/2019/03/19/world/americas/19reuters-usa-immigration-asylum-mexico.html","Asylum seekers sent to wait in to Mexico under a controversial new Trump administration policy crossed into the United States on Tuesday for their first hearings in U.S. immigration court, harboring hopes a judge would allow them to stay.","Asylum seekers sent to wait in to Mexico under a controversial new Trump administration policy crossed into the United States on Tuesday for their first hearings in U.S. immigration court, harboring hopes a judge would allow them to stay.","Reuters","2019-03-19T14:40:10+0000","article","None","World","Americas","News","5c90ffa449f0eacbf105ddb4",724,0,"nyt://article/7a908626-101e-5faf-b023-835c6c9d9a21",NA,"Asylum Seekers Returned From Mexico for First U.S. Court Hearings",NA,NA,"Asylum Seekers Returned From Mexico for First U.S. Court Hearings",NA,NA,NA,"By REUTERS","REUTERS"
"13","https://www.nytimes.com/aponline/2019/03/19/world/europe/ap-eu-un-us-arms-control.html","A top U.S. diplomat says her country wants an envoy of Venezuelan opposition leader Juan Guaido to take up the rotating presidency of a key U.N. disarmament body in two months.","A top U.S. diplomat says her country wants an envoy of Venezuelan opposition leader Juan Guaido to take up the rotating presidency of a key U.N. disarmament body in two months.","AP","2019-03-19T12:01:32+0000","article","None","World","Europe","News","5c90da7649f0eacbf105dd59",132,0,"nyt://article/7810f85c-d163-5ddb-a21f-ef5808ab42ab",NA,"US Backs Venezuela Opposition to Take UN Disarmament Role",NA,NA,"US Backs Venezuela Opposition to Take UN Disarmament Role",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"14","https://www.nytimes.com/2019/03/19/world/middleeast/syria-bombing-suspects-arrest.html","The captives are suspected of involvement in a restaurant bombing in January, in which at least 11 Syrians also died.","The captives are suspected of involvement in a restaurant bombing in January, in which at least 11 Syrians also died.","The New York Times","2019-03-19T14:14:19+0000","article","Foreign","World","Middle East","News","5c90f99649f0eacbf105dd9d",499,0,"nyt://article/4842f390-a966-5cd9-b221-e7d4900fbe41",NA,"U.S.-Backed Forces in Syria Arrest Suspects in Attack That Killed 4 Americans",NA,NA,"U.S.-Backed Forces in Syria Arrest Suspects in Attack That Killed 4 Americans",NA,NA,NA,"By BEN HUBBARD",NA
"15","https://www.nytimes.com/reuters/2019/03/19/business/19reuters-usa-trade-lighthizer.html","Top U.S. and China negotiators are planning new rounds of talks starting next week to end a trade dispute between the two nations, the Wall Street Journal reported on Tuesday.","Top U.S. and China negotiators are planning new rounds of talks starting next week to end a trade dispute between the two nations, the Wall Street Journal reported on Tuesday.","Reuters","2019-03-19T17:54:58+0000","article","None","Business",NA,"News","5c912d4d49f0eacbf105de57",170,0,"nyt://article/221f235b-392b-57eb-9dd7-78518ed39b29",NA,"U.S.-China Plan New Trade Talks for Deal by End of April-WSJ",NA,NA,"U.S.-China Plan New Trade Talks for Deal by End of April-WSJ",NA,NA,NA,"By REUTERS","REUTERS"
"16","https://www.nytimes.com/aponline/2019/03/19/us/ap-us-us-mexico-asylum.html","The first scheduled hearings under a new Trump administration policy to make asylum seekers wait in Mexico while their cases wind through U.S. immigration courts will be held Tuesday in San Diego.","The first scheduled hearings under a new Trump administration policy to make asylum seekers wait in Mexico while their cases wind through U.S. immigration courts will be held Tuesday in San Diego.","AP","2019-03-19T18:18:18+0000","article","None","U.S.",NA,"News","5c9132c449f0eacbf105de75",530,0,"nyt://article/1a0040c0-4136-52b1-924f-70a313de716c",NA,"Asylum Seekers Waiting in Mexico Arrive for Hearings in US",NA,NA,"Asylum Seekers Waiting in Mexico Arrive for Hearings in US",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"17","https://www.nytimes.com/reuters/2019/03/19/world/middleeast/19reuters-mideast-crisis-islamic-state.html","U.S.-backed Syrian forces said they were close to defeating Islamic State in its final scrap of territory at Baghouz in eastern Syria after seizing an encampment from the jihadists on Tuesday, though the battle was not over yet.","U.S.-backed Syrian forces said they were close to defeating Islamic State in its final scrap of territory at Baghouz in eastern Syria after seizing an encampment from the jihadists on Tuesday, though the battle was not over yet.","Reuters","2019-03-19T07:44:05+0000","article","None","World","Middle East","News","5c909e1f49f0eacbf105dc98",799,0,"nyt://article/be7c6df7-f8a3-53ea-8940-8ac2f479d102",NA,"Islamic State Loses Big Part of Enclave, SDF Sees Defeat 'Very Soon'",NA,NA,"Islamic State Loses Big Part of Enclave, SDF Sees Defeat 'Very Soon'",NA,NA,NA,"By REUTERS","REUTERS"
"18","https://www.nytimes.com/reuters/2019/03/19/us/19reuters-new-york-statue-sentencing.html","A woman convicted of trespassing and disorderly conduct after she climbed the Statue of Liberty's stone pedestal on July 4 last year to protest U.S. immigration policy was sentenced to 200 hours of community service and five years' probation on Tu...","A woman convicted of trespassing and disorderly conduct after she climbed the Statue of Liberty's stone pedestal on July 4 last year to protest U.S. immigration policy was sentenced to 200 hours of community service and five years' probation on Tuesday.","Reuters","2019-03-19T18:07:28+0000","article","None","U.S.",NA,"News","5c91303949f0eacbf105de69",339,0,"nyt://article/b199b26a-3fb4-5e2c-8246-64698ec793c4",NA,"Statue of Liberty Climber Sentenced to Community Service, Probation",NA,NA,"Statue of Liberty Climber Sentenced to Community Service, Probation",NA,NA,NA,"By REUTERS","REUTERS"
"19","https://www.nytimes.com/aponline/2019/03/19/world/middleeast/ap-us-united-states-mideast-peace-analysis.html","Secretary of State Mike Pompeo pays a visit to Israel this week but it's what he's not doing while there that may be the most notable aspect of the trip.","Secretary of State Mike Pompeo pays a visit to Israel this week but it's what he's not doing while there that may be the most notable aspect of the trip.","AP","2019-03-19T19:42:18+0000","article","None","World","Middle East","News","5c91467449f0eacbf105deae",984,0,"nyt://article/80eaa6b3-c164-514d-a05c-525fef2cb894",NA,"Analysis: Pompeo Skirts Talk of Peace Plan on Israel Trip",NA,NA,"Analysis: Pompeo Skirts Talk of Peace Plan on Israel Trip",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"20","https://www.nytimes.com/aponline/2019/03/19/us/ap-10-things-to-know-today.html","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:","AP","2019-03-19T10:10:31+0000","article","None","U.S.",NA,"News","5c90c07249f0eacbf105dd14",350,0,"nyt://article/0624fbad-7be1-5a8d-af62-6b31b50f2745",NA,"10 Things to Know for Today",NA,NA,"10 Things to Know for Today",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
