"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"42","RT @HillaryClinton: An administration's budget says a lot about what—and, more importantly, who—it values. 

So let's talk about the Trump…",FALSE,0,NA,2019-03-18 23:59:14,FALSE,NA,"1107793617907863558",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TeddyNews1",7432,TRUE,FALSE,NA,NA
"43","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:14,FALSE,NA,"1107793614204080128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","REALMATHEW",7153,TRUE,FALSE,NA,NA
"44","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:13,FALSE,NA,"1107793611238899712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sawyernancy1",7153,TRUE,FALSE,NA,NA
"45","RT @NumbersUSA: Mandatory E-Verify is needed to end illegal immigration, but the Trump Administration can do much more to target criminal e…",FALSE,0,NA,2019-03-18 23:59:10,FALSE,NA,"1107793600799072256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vncntrz54",137,TRUE,FALSE,NA,NA
"46","RT @EdKrassen: Socialism (n): ""economic and political theories advocating governmental ownership and administration of the means of product…",FALSE,0,NA,2019-03-18 23:59:10,FALSE,NA,"1107793597481533441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amstef17",162,TRUE,FALSE,NA,NA
"47","RT @ewarren: Saudi Arabia has brutally crushed dissent—kidnapping, detaining, torturing its own citizens—even murdering Jamal Khashoggi, a…",FALSE,0,NA,2019-03-18 23:59:08,FALSE,NA,"1107793590284156931",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Xenovim",1070,TRUE,FALSE,NA,NA
"48","RT @drawandstrike: Note that you're seeing a lot of Never Trump-influenced media suddenly shopping 'news' stories about chaos and 'internal…",FALSE,0,NA,2019-03-18 23:59:07,FALSE,NA,"1107793585024520192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cheryl4Trump",61,TRUE,FALSE,NA,NA
"49","RT @HillaryClinton: An administration's budget says a lot about what—and, more importantly, who—it values. 

So let's talk about the Trump…",FALSE,0,NA,2019-03-18 23:59:06,FALSE,NA,"1107793581538856960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ANTFACE1",7432,TRUE,FALSE,NA,NA
"50","RT @thehill: Kellyanne Conway's husband suggests President Trump has at least two diagnosable personality disorders https://t.co/Lub2io2IuS…",FALSE,0,NA,2019-03-18 23:59:05,FALSE,NA,"1107793577743126528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","endmoronism",104,TRUE,FALSE,NA,NA
"51","RT @drawandstrike: Note that you're seeing a lot of Never Trump-influenced media suddenly shopping 'news' stories about chaos and 'internal…",FALSE,0,NA,2019-03-18 23:59:04,FALSE,NA,"1107793574706495490",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","R982507291",61,TRUE,FALSE,NA,NA
"52","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:03,FALSE,NA,"1107793571682439168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JimBake15389028",7153,TRUE,FALSE,NA,NA
"53","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:59,FALSE,NA,"1107793555030974464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanSt08942260",7153,TRUE,FALSE,NA,NA
"54","@GrantBubsey @kylegriffin1 @TheBeatWithAri I see your point, but until this administration taxes have always been r… https://t.co/VLzGJtVZkf",FALSE,0,"GrantBubsey",2019-03-18 23:58:58,TRUE,"1107787824886104064","1107793549280473089","2513739464","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeizingMonkey",0,FALSE,FALSE,NA,NA
"55","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:57,FALSE,NA,"1107793546252349441",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Wynarris2",7153,TRUE,FALSE,NA,NA
"56","RT @StopBigMoney: Donald Trump’s administration just granted Ivanka Trump a LIFETIME Security Clearance. But she’s facing possible FBI Inve…",FALSE,0,NA,2019-03-18 23:58:57,FALSE,NA,"1107793543232286720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandcastle114",4248,TRUE,FALSE,NA,NA
"57","RT @thehill: Trump admin requests over $85 billion for spy budget https://t.co/ggxeM38SZs https://t.co/zmBQ8dMtAW",FALSE,0,NA,2019-03-18 23:58:56,FALSE,NA,"1107793539910520832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ANIME4LIFE",71,TRUE,FALSE,NA,NA
"58","RT @drawandstrike: There's no internal war within the Trump administration to 'save' the Iran Nuclear Deal. 

This disinformation will get…",FALSE,0,NA,2019-03-18 23:58:56,FALSE,NA,"1107793539902119938",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandinharry",197,TRUE,FALSE,NA,NA
"59","Opinion | Why has Trump's administration delayed putting Harriet Tubman on the $20 bill? https://t.co/WH999ulqPH",FALSE,1,NA,2019-03-18 23:58:55,FALSE,NA,"1107793536642998272",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","VanAggson",0,FALSE,FALSE,NA,NA
"60","RT @drawandstrike: There's no internal war within the Trump administration to 'save' the Iran Nuclear Deal. 

This disinformation will get…",FALSE,0,NA,2019-03-18 23:58:55,FALSE,NA,"1107793535837835265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cheryl4Trump",197,TRUE,FALSE,NA,NA
"61","RT @TheDemCoalition: ""His condition is getting worse, not better — and there are now fewer people in the administration able to contain the…",FALSE,0,NA,2019-03-18 23:58:53,FALSE,NA,"1107793528262938624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BamjcastA",929,TRUE,FALSE,NA,NA
"62","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:53,FALSE,NA,"1107793526333464576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SafariAdv",7153,TRUE,FALSE,NA,NA
"63","RT @ewarren: Saudi Arabia has brutally crushed dissent—kidnapping, detaining, torturing its own citizens—even murdering Jamal Khashoggi, a…",FALSE,0,NA,2019-03-18 23:58:53,FALSE,NA,"1107793525943517184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NReibstein",1070,TRUE,FALSE,NA,NA
"64","Even NYT had reported this:

Elliot Broidy was paid to lobby the Trump administration to end an investigation relat… https://t.co/6RE1nHbs90",FALSE,22,"BenKTallmadge",2019-03-18 23:58:50,TRUE,"1107790137398710274","1107793515948339201","3301847203","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BenKTallmadge",14,FALSE,FALSE,NA,NA
